hospital,state,beds_nonicu,util_nonicu,beds_icu,util_icu,vent,util_vent
Hospital Sultanah Nora Ismail,Johor,592.0,81.75675675675676,18.0,55.55555555555556,51.0,39.21568627450981
Hospital Enche' Besar Hajjah Khalsom,Johor,368.0,69.29347826086956,14.0,71.42857142857143,45.0,51.11111111111111
Hospital Kota Tinggi,Johor,158.0,69.62025316455697,0.0,,0.0,
Hospital Mersing,Johor,70.0,50.0,0.0,,0.0,
Hospital Pontian,Johor,120.0,58.333333333333336,0.0,,0.0,
Hospital Segamat,Johor,302.0,70.19867549668875,12.0,58.333333333333336,29.0,31.03448275862069
Hospital Tangkak,Johor,69.0,24.637681159420293,0.0,,0.0,
Hospital Baling,Kedah,115.0,73.91304347826086,0.0,,0.0,
Hospital Sultanah Bahiyah,Kedah,1082.0,73.84473197781885,26.0,100.0,81.0,55.55555555555556
Hospital Sultan Abdul Halim,Kedah,670.0,95.82089552238806,26.0,88.46153846153845,60.0,58.333333333333336
Hospital Jitra,Kedah,91.0,79.12087912087912,0.0,,0.0,
Hospital Kulim,Kedah,303.0,98.67986798679867,17.0,70.58823529411765,36.0,36.11111111111111
Hospital Langkawi,Kedah,154.0,62.33766233766234,9.0,22.22222222222222,14.0,14.285714285714285
Hospital Kuala Nerang,Kedah,80.0,53.75,0.0,,0.0,
Hospital Sik,Kedah,93.0,58.06451612903226,0.0,,0.0,
Hospital Yan,Kedah,89.0,41.57303370786517,0.0,,0.0,
Hospital Gua Musang,Kelantan,90.0,31.11111111111111,0.0,,0.0,
Hospital Jeli,Kelantan,80.0,32.5,0.0,,0.0,
Hospital Sultan Ismail Petra,Kelantan,404.0,49.75247524752475,20.0,75.0,30.0,43.333333333333336
Hospital Machang,Kelantan,90.0,58.88888888888889,0.0,,0.0,
Hospital Pasir Mas,Kelantan,120.0,72.5,0.0,,0.0,
Hospital Tanah Merah,Kelantan,141.0,91.48936170212765,5.0,100.0,13.0,53.84615384615385
Hospital Tumpat,Kelantan,119.0,72.26890756302521,0.0,,0.0,
Hospital Alor Gajah,Melaka,100.0,75.0,6.0,50.0,10.0,0.0
Hospital Jasin,Melaka,97.0,65.97938144329896,6.0,50.0,16.0,12.5
Hospital Melaka,Melaka,1076.0,78.25278810408922,66.0,51.515151515151516,95.0,36.84210526315789
Hospital Jelebu,Negeri Sembilan,,,,,,
Hospital Jempol,Negeri Sembilan,142.0,0.0,10.0,0.0,4.0,0.0
Hospital Tampin,Negeri Sembilan,100.0,56.99999999999999,16.0,25.0,12.0,8.333333333333332
Hospital Bentong,Pahang,110.0,66.36363636363637,0.0,,0.0,
Hospital Jerantut,Pahang,77.0,50.649350649350644,0.0,,0.0,
Hospital Kuala Lipis,Pahang,158.0,82.27848101265823,10.0,50.0,14.0,78.57142857142857
Hospital Jengka,Pahang,70.0,74.28571428571429,0.0,,0.0,
Hospital Pekan,Pahang,106.0,89.62264150943396,4.0,0.0,7.0,0.0
Hospital Raub,Pahang,89.0,48.31460674157304,0.0,,0.0,
Hospital Muadzam Shah,Pahang,49.0,44.89795918367347,0.0,,0.0,
Hospital Rompin,Pahang,60.0,50.0,0.0,,2.0,0.0
Hospital Sungai Bakap,Pulau Pinang,105.0,60.952380952380956,0.0,,0.0,
Hospital Bukit Mertajam,Pulau Pinang,235.0,0.0,7.0,0.0,20.0,15.0
Hospital Seberang Jaya,Pulau Pinang,400.0,104.75000000000001,13.0,0.0,35.0,0.0
Hospital Pulau Pinang,Pulau Pinang,1136.0,57.83450704225353,27.0,92.5925925925926,89.0,44.9438202247191
Hospital Slim River,Perak,157.0,57.324840764331206,13.0,23.076923076923077,12.0,8.333333333333332
Hospital Tapah,Perak,100.0,32.0,0.0,,0.0,
Hospital Teluk Intan,Perak,532.0,57.330827067669176,16.0,37.5,39.0,38.46153846153847
Hospital Gerik,Perak,75.0,36.0,0.0,,0.0,
Hospital Parit Buntar,Perak,100.0,59.0,0.0,,0.0,
Hospital  Raja Permaisuri Bainun,Perak,1068.0,65.1685393258427,29.0,72.41379310344827,86.0,48.837209302325576
Hospital Batu Gajah,Perak,148.0,29.054054054054053,0.0,,0.0,
Hospital Kuala Kangsar,Perak,136.0,56.61764705882353,0.0,,0.0,
