state,beds_nonicu,util_nonicu,beds_icu,util_icu,vent,util_vent
Malaysia,35118,71.8178711771741,999.0,64.96496496496496,2448.0,32.3937908496732
Johor,2409,47.156496471564964,53.0,88.67924528301887,186.0,27.419354838709676
Kedah,2596,81.39445300462249,73.0,68.4931506849315,180.0,40.55555555555556
Kelantan,1931,64.42257897462454,80.0,78.75,129.0,34.10852713178294
Melaka,1269,77.46256895193065,58.0,79.3103448275862,123.0,50.40650406504065
Negeri Sembilan,1209,66.58395368072787,26.0,19.230769230769234,158.0,13.291139240506327
Pahang,1212,72.60726072607261,48.0,39.58333333333333,63.0,50.79365079365079
Perak,5010,63.812375249500995,100.0,60.0,189.0,58.201058201058196
Perlis,495,70.5050505050505,18.0,0.0,28.0,46.42857142857143
Pulau Pinang,2059,73.28800388538124,63.0,44.44444444444444,161.0,24.22360248447205
Sabah,3524,73.35414301929626,120.0,73.33333333333333,198.0,40.4040404040404
Sarawak,3750,69.06666666666666,107.0,63.55140186915887,229.0,36.681222707423586
Selangor,5130,86.4327485380117,159.0,62.264150943396224,528.0,20.265151515151516
Terengganu,1379,75.92458303118201,29.0,75.86206896551724,88.0,39.77272727272727
W.P. Kuala Lumpur,2268,78.61552028218695,34.0,94.11764705882352,92.0,33.69565217391305
W.P. Labuan,115,0.0,7.0,14.285714285714285,46.0,0.0
W.P. Putrajaya,762,74.2782152230971,24.0,87.5,50.0,22.0
