Index,KOD_FASILITI,STATUS,SEKTOR,SUBSEKTOR,PROGRAM_GROUP,NEGERI,DAERAH,KATEGORI_FASILITI,JENIS_FASILITI,NAMA,ALAMAT,BANDAR,POSKOD,DAERAH_PENTADBIRAN,TELEFON,EMEL,URBAN_RURAL,LATITUD,LONGITUD
1,11-01030012,BUKA,AWAM,KKM,,JOHOR,KLUANG,HOSPITAL,HOSPITAL PAKAR MINOR,"HOSPITAL ENCHE' BESAR HAJJAH
 KHALSOM","KM 5, JLN KOTA TINGGI",,86000,,,,,2.00732,103.3472
2,11-01040013,BUKA,AWAM,KKM,,JOHOR,KOTA TINGGI,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL KOTA TINGGI,JALAN TUN HABAH,,81900,,,,,1.73505,103.89951
3,11-01050014,BUKA,AWAM,KKM,,JOHOR,MERSING,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL MERSING,JALAN ISMAIL,,86800,,,,,2.4297,103.84528
4,11-01060015,BUKA,AWAM,KKM,,JOHOR,MUAR,HOSPITAL,HOSPITAL PAKAR MAJOR,"HOSPITAL PAKAR SULTANAH 
FATIMAH, MUAR",JALAN SALLEH,,84000,,,,,2.05717,102.57492
5,11-01070016,BUKA,AWAM,KKM,,JOHOR,PONTIAN,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL PONTIAN,JALAN ALSAGOFF,,82000,,,,,1.4991,103.38515
6,11-01080017,BUKA,AWAM,KKM,,JOHOR,SEGAMAT,HOSPITAL,HOSPITAL PAKAR MAJOR,HOSPITAL SEGAMAT,KM 6 JALAN GENUANG,,85000,,,,,2.49479,102.85883
7,11-01020400,BUKA,AWAM,KKM,,JOHOR,JOHOR BAHRU,HOSPITAL,HOSPITAL PAKAR MAJOR,"HOSPITAL SULTAN ISMAIL JOHOR
 BAHRU","JALAN PERSIARAN MUTIARA EMAS UTAMA, TAMAN MOUNT AUSTIN",,81100,,,,,1.54839,103.79097
8,11-01020010,BUKA,AWAM,KKM,,JOHOR,JOHOR BAHRU,HOSPITAL,HOSPITAL NEGERI,"HOSPITAL SULTANAH AMINAH, 
JOHOR BAHRU","HOSPITAL SULTANAH AMINAH, JOHOR BAHRU",,80100,,,,,1.45991,103.74499
9,11-01010011,BUKA,AWAM,KKM,,JOHOR,BATU PAHAT,HOSPITAL,HOSPITAL PAKAR MAJOR,"HOSPITAL SULTANAH NORA 
ISMAIL","JALAN KORMA, TAMAN SOGA",,83000,,,,,1.83775,102.94102
10,11-01100018,BUKA,AWAM,KKM,,JOHOR,TANGKAK,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL TANGKAK,"JALAN HOSPITAL, TANGKAK MUAR",,84900,,,,,2.27234,102.54702
11,11-01090019,BUKA,AWAM,KKM,,JOHOR,KULAIJAYA,HOSPITAL,HOSPITAL TANPA PAKAR,"HOSPITAL TEMENGGONG SERI 
MAHARAJA TUN IBRAHIM, KULAI",HOSPITAL TEMENGGONG SERI MAHARAJA TUN IBRAHIM,,81000,,,,,1.64084,103.62325
12,11-01021181,BUKA,AWAM,KKM,,JOHOR,JOHOR BAHRU,HOSPITAL,HOSPITAL PAKAR MAJOR,HOSPITAL PASIR GUDANG,"JALAN PUNCAK 1, 81700 PASIR GUDANG, JOHOR",,81700,,,,,1.515529526,103.8615475
13,11-02010014,BUKA,AWAM,KKM,,KEDAH,BALING,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL BALING,"BALING, 09100 BALING, KEDAH",,09100,,,,,5.677995,100.925816
14,11-02110504,BUKA,AWAM,KKM,,KEDAH,PENDANG,HOSPITAL,HOSPITAL PAKAR MINOR,HOSPITAL PENDANG,"KAMPUNG MANGGOL PAUH, 06700 PENDANG, KEDAH",,06700,,,,,5.97785,100.48487
15,11-02030085,BUKA,AWAM,KKM,,KEDAH,KOTA SETAR,HOSPITAL,HOSPITAL NEGERI,HOSPITAL SULTANAH BAHIYAH,"KM 6, JLN LANGGAR",,05460,,,,,6.148825051,100.406368
16,11-02040020,BUKA,AWAM,KKM,,KEDAH,KUALA MUDA,HOSPITAL,HOSPITAL PAKAR MAJOR,HOSPITAL SULTAN ABDUL HALIM,JALAN LENCONGAN TIMUR BANDAR AMANJAYA,,08000,,,,,5.668432637,100.5163197
17,11-02050015,BUKA,AWAM,KKM,,KEDAH,KUBANG PASU,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL JITRA,JALAN CHANGLUN,,06000,,,,,6.278502668,100.419022
18,11-02060017,BUKA,AWAM,KKM,,KEDAH,KULIM,HOSPITAL,HOSPITAL PAKAR MAJOR,HOSPITAL KULIM,"LEBUH TAMAN PERINDUSTRIAN, TAMAN KULIM HI-TECH, 09090 KULIM, KEDAH",,09000,,,,,5.393361049,100.5729934
19,11-02070018,BUKA,AWAM,KKM,,KEDAH,LANGKAWI,HOSPITAL,HOSPITAL PAKAR MINOR,HOSPITAL SULTANAH MALIHA,"BUKIT TEKUH, JALAN PADANG MAKSIRAT",,07000,,,,,6.325591613,99.79641111
20,11-02080016,BUKA,AWAM,KKM,,KEDAH,PADANG TERAP,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL KUALA NERANG,KUALA NERANG,,06300,,,,,6.25288,100.6097286
21,11-02100019,BUKA,AWAM,KKM,,KEDAH,SIK,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL SIK,08200 SIK,,08200,,,,,5.812219596,100.7269672
22,11-02110021,BUKA,AWAM,KKM,,KEDAH,YAN,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL YAN,BATU 25 JALAN YAN,,06900,,,,,5.820621669,100.3845005
23,11-03020013,BUKA,AWAM,KKM,,KELANTAN,GUA MUSANG,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL GUA MUSANG,BANDAR BARU,,18300,,,,,4.858255,101.954683
24,11-03030014,BUKA,AWAM,KKM,,KELANTAN,JELI,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL JELI,17600 JELI,,17600,,,,,5.701156,101.844461
25,11-03040012,BUKA,AWAM,KKM,,KELANTAN,KOTA BHARU,HOSPITAL,HOSPITAL NEGERI,"HOSPITAL RAJA PEREMPUAN ZAINAB II, KOTA BHARU",JALAN HOSPITAL,,15000,,,,,6.125567,102.245691
26,11-03050015,BUKA,AWAM,KKM,,KELANTAN,KUALA KRAI,HOSPITAL,HOSPITAL PAKAR MAJOR,HOSPITAL SULTAN ISMAIL PETRA,JALAN KOTA BHARU,,18000,,,,,5.535636,102.199282
27,11-03060016,BUKA,AWAM,KKM,,KELANTAN,MACHANG,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL MACHANG,JALAN PASIR PUTEH,,18500,,,,,5.763276,102.224921
28,11-03070017,BUKA,AWAM,KKM,,KELANTAN,PASIR MAS,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL PASIR MAS,JALAN MERANTI,,17000,,,,,6.014316,102.119101
29,11-03080019,BUKA,AWAM,KKM,,KELANTAN,PASIR PUTEH,HOSPITAL,HOSPITAL TANPA PAKAR,"HOSPITAL TENGKU ANIS, PASIR PUTEH",JALAN PASIR PUTEH,,16800,,,,,5.832866,102.387502
30,11-03090018,BUKA,AWAM,KKM,,KELANTAN,TANAH MERAH,HOSPITAL,HOSPITAL PAKAR MAJOR,HOSPITAL TANAH MERAH,17500 TANAH MERAH,,17500,,,,,5.809696,102.152541
31,11-03100020,BUKA,AWAM,KKM,,KELANTAN,TUMPAT,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL TUMPAT,JALAN KELABURAN,,16200,,,,,6.189896,102.157181
32,11-03010481,BUKA,AWAM,KKM,,KELANTAN,BACHOK,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL BACHOK,"JALAN GUNONG-JELAWAT, KAMPUNG BATOR",,16300,,,,,6.005736,102.359137
33,12-03040296,BUKA,AWAM,KPT,,KELANTAN,KOTA BHARU,HOSPITAL,HOSPITAL PENGAJAR,HOSPITAL UNIVERSITI SAINS MALAYSIA,"HOSPITAL UNIVERSITI SAINS MALAYSIA, UNIVERSITI SAINS MALAYSIA, KAMPUS KESIHATAN, JALAN RAJA PEREMPUAN ZAINAB 2,  16150 KOTA BHARU, KELANTAN",,16150,,,,,6.099613856,102.2805095
34,11-04010006,BUKA,AWAM,KKM,,MELAKA,ALOR GAJAH,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL ALOR GAJAH,"PEJABAT HOSPITAL, HOSPITAL ALOR GAJAH",,78000,,,,,2.381015,102.207352
35,11-04020007,BUKA,AWAM,KKM,,MELAKA,JASIN,HOSPITAL,HOSPITAL TANPA PAKAR,HOSPITAL JASIN,77000 JASIN,,77000,,,,,2.304796,102.428502
36,11-04030005,BUKA,AWAM,KKM,,MELAKA,MELAKA TENGAH,HOSPITAL,HOSPITAL NEGERI,HOSPITAL MELAKA,JALAN MUFTI HAJI KHALIL,,75400,,,,,2.218645,102.260403
